data;data_doy
2013-01-01;2013.0027322404
2014-01-01;2014.0027322404
2015-01-01;2015.0027322404
2016-01-01;2016.0027322404
2017-01-01;2017.0027322404
2018-01-01;2018.0027322404
2019-01-01;2019.0027322404
2020-01-01;2020.0027322404
2021-01-01;2021.0027322404
2022-01-01;2022.0027322404
2023-01-01;2023.0027322404
2024-01-01;2024.0027322404
2025-01-01;2025.0027322404
2026-01-01;2026.0027322404
2027-01-01;2027.0027322404
2028-01-01;2028.0027322404
2029-01-01;2029.0027322404
2030-01-01;2030.0027322404
2031-01-01;2031.0027322404
2032-01-01;2032.0027322404
2033-01-01;2033.0027322404
2034-01-01;2034.0027322404
2035-01-01;2035.0027322404
2036-01-01;2036.0027322404
2037-01-01;2037.0027322404
2038-01-01;2038.0027322404
2039-01-01;2039.0027322404
2040-01-01;2040.0027322404
2041-01-01;2041.0027322404
2042-01-01;2042.0027322404
2043-01-01;2043.0027322404
2044-01-01;2044.0027322404
2045-01-01;2045.0027322404
2046-01-01;2046.0027322404
2047-01-01;2047.0027322404
2048-01-01;2048.0027322404
2049-01-01;2049.0027322404
2050-01-01;2050.0027322404
