data;data_doy
2013-1-01;2013.0027322404
2013-2-01;2013.087431694
2013-3-01;2013.1639344262
2013-4-01;2013.2486338798
2013-5-01;2013.3306010929
2013-6-01;2013.4153005464
2013-7-01;2013.4972677596
2013-8-01;2013.5819672131
2013-9-01;2013.6666666667
2013-10-01;2013.7486338798
2013-11-01;2013.8333333333
2013-12-01;2013.9153005464
2014-1-01;2014.0027322404
2014-2-01;2014.087431694
2014-3-01;2014.1639344262
2014-4-01;2014.2486338798
2014-5-01;2014.3306010929
2014-6-01;2014.4153005464
2014-7-01;2014.4972677596
2014-8-01;2014.5819672131
2014-9-01;2014.6666666667
2014-10-01;2014.7486338798
2014-11-01;2014.8333333333
2014-12-01;2014.9153005464
2015-1-01;2015.0027322404
2015-2-01;2015.087431694
2015-3-01;2015.1639344262
2015-4-01;2015.2486338798
2015-5-01;2015.3306010929
2015-6-01;2015.4153005464
2015-7-01;2015.4972677596
2015-8-01;2015.5819672131
2015-9-01;2015.6666666667
2015-10-01;2015.7486338798
2015-11-01;2015.8333333333
2015-12-01;2015.9153005464
2016-1-01;2016.0027322404
2016-2-01;2016.087431694
2016-3-01;2016.1666666667
2016-4-01;2016.2513661202
2016-5-01;2016.3333333333
2016-6-01;2016.4180327869
2016-7-01;2016.5
2016-8-01;2016.5846994536
2016-9-01;2016.6693989071
2016-10-01;2016.7513661202
2016-11-01;2016.8360655738
2016-12-01;2016.9180327869
2017-1-01;2017.0027322404
2017-2-01;2017.087431694
2017-3-01;2017.1639344262
2017-4-01;2017.2486338798
2017-5-01;2017.3306010929
2017-6-01;2017.4153005464
2017-7-01;2017.4972677596
2017-8-01;2017.5819672131
2017-9-01;2017.6666666667
2017-10-01;2017.7486338798
2017-11-01;2017.8333333333
2017-12-01;2017.9153005464
2018-1-01;2018.0027322404
2018-2-01;2018.087431694
2018-3-01;2018.1639344262
2018-4-01;2018.2486338798
2018-5-01;2018.3306010929
2018-6-01;2018.4153005464
2018-7-01;2018.4972677596
2018-8-01;2018.5819672131
2018-9-01;2018.6666666667
2018-10-01;2018.7486338798
2018-11-01;2018.8333333333
2018-12-01;2018.9153005464
2019-1-01;2019.0027322404
2019-2-01;2019.087431694
2019-3-01;2019.1639344262
2019-4-01;2019.2486338798
2019-5-01;2019.3306010929
2019-6-01;2019.4153005464
2019-7-01;2019.4972677596
2019-8-01;2019.5819672131
2019-9-01;2019.6666666667
2019-10-01;2019.7486338798
2019-11-01;2019.8333333333
2019-12-01;2019.9153005464
2020-1-01;2020.0027322404
2020-2-01;2020.087431694
2020-3-01;2020.1666666667
2020-4-01;2020.2513661202
2020-5-01;2020.3333333333
2020-6-01;2020.4180327869
2020-7-01;2020.5
2020-8-01;2020.5846994536
2020-9-01;2020.6693989071
2020-10-01;2020.7513661202
2020-11-01;2020.8360655738
2020-12-01;2020.9180327869
2021-1-01;2021.0027322404
2021-2-01;2021.087431694
2021-3-01;2021.1639344262
2021-4-01;2021.2486338798
2021-5-01;2021.3306010929
2021-6-01;2021.4153005464
2021-7-01;2021.4972677596
2021-8-01;2021.5819672131
2021-9-01;2021.6666666667
2021-10-01;2021.7486338798
2021-11-01;2021.8333333333
2021-12-01;2021.9153005464
2022-1-01;2022.0027322404
2022-2-01;2022.087431694
2022-3-01;2022.1639344262
2022-4-01;2022.2486338798
2022-5-01;2022.3306010929
2022-6-01;2022.4153005464
2022-7-01;2022.4972677596
2022-8-01;2022.5819672131
2022-9-01;2022.6666666667
